1:1-4	بسم الله الرحمن الرحيم. الحمد لله رب العالمين. الرحمن الرحيم. مالك يوم الدين.
33:56-58	إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما. إن الذين يؤذون الله ورسوله لعنهم الله في الدنيا والآخرة وأعد لهم عذابا مهينا. والذين يؤذون المؤمنين والمؤمنات بغير ما اكتسبوا فقد احتملوا بهتانا وإثما مبينا.
33:59-59	يا أيها النبي قل لأزواجك وبناتك ونساء المؤمنين يدنين عليهن من جلابيبهن ذلك أدنى أن يعرفن فلا يؤذين وكان الله غفورا رحيما.
33:60-62	لئن لم ينته المنافقون والذين في قلوبهم مرض والمرجفون في المدينة لنغرينك بهم ثم لا يجاورونك فيها إلا قليلا. ملعونين أينما ثقفوا أخذوا وقتلوا تقتيلا. سنة الله في الذين خلوا من قبل ولن تجد لسنة الله تبديلا.
33:63-68	يسألك الناس عن الساعة قل إنما علمها عند الله وما يدريك لعل الساعة تكون قريبا. إن الله لعن الكافرين وأعد لهم سعيرا. خالدين فيها أبدا لا يجدون وليا ولا نصيرا. يوم تقلب وجوههم في النار يقولون يا ليتنا أطعنا الله وأطعنا الرسولا. وقالوا ربنا إنا أطعنا سادتنا وكبراءنا فأضلونا السبيلا. ربنا آتهم ضعفين من العذاب والعنهم لعنا كبيرا.
33:69-71	يا أيها الذين آمنوا لا تكونوا كالذين آذوا موسى فبرأه الله مما قالوا وكان عند الله وجيها. يا أيها الذين آمنوا اتقوا الله وقولوا قولا سديدا. يصلح لكم أعمالكم ويغفر لكم ذنوبكم ومن يطع الله ورسوله فقد فاز فوزا عظيما.
33:72-73	إنا عرضنا الأمانة على السماوات والأرض والجبال فأبين أن يحملنها وأشفقن منها وحملها الإنسان إنه كان ظلوما جهولا. ليعذب الله المنافقين والمنافقات والمشركين والمشركات ويتوب الله على المؤمنين والمؤمنات وكان الله غفورا رحيما.
34:1-2	الحمد لله الذي له ما في السماوات وما في الأرض وله الحمد في الآخرة وهو الحكيم الخبير. يعلم ما يلج في الأرض وما يخرج منها وما ينزل من السماء وما يعرج فيها وهو الرحيم الغفور.
34:3-5	وقال الذين كفروا لا تأتينا الساعة قل بلى وربي لتأتينكم عالم الغيب لا يعزب عنه مثقال ذرة في السماوات ولا في الأرض ولا أصغر من ذلك ولا أكبر إلا في كتاب مبين. ليجزي الذين آمنوا وعملوا الصالحات أولئك لهم مغفرة ورزق كريم. والذين سعوا في آياتنا معاجزين أولئك لهم عذاب من رجز أليم.
34:6-9	ويرى الذين أوتوا العلم الذي أنزل إليك من ربك هو الحق ويهدي إلى صراط العزيز الحميد. وقال الذين كفروا هل ندلكم على رجل ينبئكم إذا مزقتم كل ممزق إنكم لفي خلق جديد. أفترى على الله كذبا أم به جنة بل الذين لا يؤمنون بالآخرة في العذاب والضلال البعيد. أفلم يروا إلى ما بين أيديهم وما خلفهم من السماء والأرض إن نشأ نخسف بهم الأرض أو نسقط عليهم كسفا من السماء إن في ذلك لآية لكل عبد منيب.
34:10-13	ولقد آتينا داوود منا فضلا يا جبال أوبي معه والطير وألنا له الحديد. أن اعمل سابغات وقدر في السرد واعملوا صالحا إني بما تعملون بصير. ولسليمان الريح غدوها شهر ورواحها شهر وأسلنا له عين القطر ومن الجن من يعمل بين يديه بإذن ربه ومن يزغ منهم عن أمرنا نذقه من عذاب السعير. يعملون له ما يشاء من محاريب وتماثيل وجفان كالجواب وقدور راسيات اعملوا آل داوود شكرا وقليل من عبادي الشكور.
34:14-14	فلما قضينا عليه الموت ما دلهم على موته إلا دابة الأرض تأكل منسأته فلما خر تبينت الجن أن لو كانوا يعلمون الغيب ما لبثوا في العذاب المهين.
34:15-19	لقد كان لسبإ في مسكنهم آية جنتان عن يمين وشمال كلوا من رزق ربكم واشكروا له بلدة طيبة ورب غفور. فأعرضوا فأرسلنا عليهم سيل العرم وبدلناهم بجنتيهم جنتين ذواتي أكل خمط وأثل وشيء من سدر قليل. ذلك جزيناهم بما كفروا وهل نجازي إلا الكفور. وجعلنا بينهم وبين القرى التي باركنا فيها قرى ظاهرة وقدرنا فيها السير سيروا فيها ليالي وأياما آمنين. فقالوا ربنا باعد بين أسفارنا وظلموا أنفسهم فجعلناهم أحاديث ومزقناهم كل ممزق إن في ذلك لآيات لكل صبار شكور.
34:20-23	ولقد صدق عليهم إبليس ظنه فاتبعوه إلا فريقا من المؤمنين. وما كان له عليهم من سلطان إلا لنعلم من يؤمن بالآخرة ممن هو منها في شك وربك على كل شيء حفيظ. قل ادعوا الذين زعمتم من دون الله لا يملكون مثقال ذرة في السماوات ولا في الأرض وما لهم فيهما من شرك وما له منهم من ظهير. ولا تنفع الشفاعة عنده إلا لمن أذن له حتى إذا فزع عن قلوبهم قالوا ماذا قال ربكم قالوا الحق وهو العلي الكبير.
34:24-27	قل من يرزقكم من السماوات والأرض قل الله وإنا أو إياكم لعلى هدى أو في ضلال مبين. قل لا تسألون عما أجرمنا ولا نسأل عما تعملون. قل يجمع بيننا ربنا ثم يفتح بيننا بالحق وهو الفتاح العليم. قل أروني الذين ألحقتم به شركاء كلا بل هو الله العزيز الحكيم.
34:28-30	وما أرسلناك إلا كافة للناس بشيرا ونذيرا ولكن أكثر الناس لا يعلمون. ويقولون متى هذا الوعد إن كنتم صادقين. قل لكم ميعاد يوم لا تستأخرون عنه ساعة ولا تستقدمون.
34:31-33	وقال الذين كفروا لن نؤمن بهذا القرآن ولا بالذي بين يديه ولو ترى إذ الظالمون موقوفون عند ربهم يرجع بعضهم إلى بعض القول يقول الذين استضعفوا للذين استكبروا لولا أنتم لكنا مؤمنين. قال الذين استكبروا للذين استضعفوا أنحن صددناكم عن الهدى بعد إذ جاءكم بل كنتم مجرمين. وقال الذين استضعفوا للذين استكبروا بل مكر الليل والنهار إذ تأمروننا أن نكفر بالله ونجعل له أندادا وأسروا الندامة لما رأوا العذاب وجعلنا الأغلال في أعناق الذين كفروا هل يجزون إلا ما كانوا يعملون.
34:34-39	وما أرسلنا في قرية من نذير إلا قال مترفوها إنا بما أرسلتم به كافرون. وقالوا نحن أكثر أموالا وأولادا وما نحن بمعذبين. قل إن ربي يبسط الرزق لمن يشاء ويقدر ولكن أكثر الناس لا يعلمون. وما أموالكم ولا أولادكم بالتي تقربكم عندنا زلفى إلا من آمن وعمل صالحا فأولئك لهم جزاء الضعف بما عملوا وهم في الغرفات آمنون. والذين يسعون في آياتنا معاجزين أولئك في العذاب محضرون. قل إن ربي يبسط الرزق لمن يشاء من عباده ويقدر له وما أنفقتم من شيء فهو يخلفه وهو خير الرازقين.
34:40-45	ويوم يحشرهم جميعا ثم يقول للملائكة أهؤلاء إياكم كانوا يعبدون. قالوا سبحانك أنت ولينا من دونهم بل كانوا يعبدون الجن أكثرهم بهم مؤمنون. فاليوم لا يملك بعضكم لبعض نفعا ولا ضرا ونقول للذين ظلموا ذوقوا عذاب النار التي كنتم بها تكذبون. وإذا تتلى عليهم آياتنا بينات قالوا ما هذا إلا رجل يريد أن يصدكم عما كان يعبد آباؤكم وقالوا ما هذا إلا إفك مفترى وقال الذين كفروا للحق لما جاءهم إن هذا إلا سحر مبين. وما آتيناهم من كتب يدرسونها وما أرسلنا إليهم قبلك من نذير. وكذب الذين من قبلهم وما بلغوا معشار ما آتيناهم فكذبوا رسلي فكيف كان نكير.
34:46-47	قل إنما أعظكم بواحدة أن تقوموا لله مثنى وفرادى ثم تتفكروا ما بصاحبكم من جنة إن هو إلا نذير لكم بين يدي عذاب شديد. قل ما سألتكم من أجر فهو لكم إن أجري إلا على الله وهو على كل شيء شهيد.
34:48-54	قل إن ربي يقذف بالحق علام الغيوب. قل جاء الحق وما يبدئ الباطل وما يعيد. قل إن ضللت فإنما أضل على نفسي وإن اهتديت فبما يوحي إلي ربي إنه سميع قريب. ولو ترى إذ فزعوا فلا فوت وأخذوا من مكان قريب. وقالوا آمنا به وأنى لهم التناوش من مكان بعيد. وقد كفروا به من قبل ويقذفون بالغيب من مكان بعيد. وحيل بينهم وبين ما يشتهون كما فعل بأشياعهم من قبل إنهم كانوا في شك مريب.
35:1-4	الحمد لله فاطر السماوات والأرض جاعل الملائكة رسلا أولي أجنحة مثنى وثلاث ورباع يزيد في الخلق ما يشاء إن الله على كل شيء قدير. ما يفتح الله للناس من رحمة فلا ممسك لها وما يمسك فلا مرسل له من بعده وهو العزيز الحكيم. يا أيها الناس اذكروا نعمت الله عليكم هل من خالق غير الله يرزقكم من السماء والأرض لا إله إلا هو فأنى تؤفكون. وإن يكذبوك فقد كذبت رسل من قبلك وإلى الله ترجع الأمور.
35:5-8	يا أيها الناس إن وعد الله حق فلا تغرنكم الحياة الدنيا ولا يغرنكم بالله الغرور. إن الشيطان لكم عدو فاتخذوه عدوا إنما يدعو حزبه ليكونوا من أصحاب السعير. الذين كفروا لهم عذاب شديد والذين آمنوا وعملوا الصالحات لهم مغفرة وأجر كبير. أفمن زين له سوء عمله فرآه حسنا فإن الله يضل من يشاء ويهدي من يشاء فلا تذهب نفسك عليهم حسرات إن الله عليم بما يصنعون.
35:9-11	والله الذي أرسل الرياح فتثير سحابا فسقناه إلى بلد ميت فأحيينا به الأرض بعد موتها كذلك النشور. من كان يريد العزة فلله العزة جميعا إليه يصعد الكلم الطيب والعمل الصالح يرفعه والذين يمكرون السيئات لهم عذاب شديد ومكر أولئك هو يبور. والله خلقكم من تراب ثم من نطفة ثم جعلكم أزواجا وما تحمل من أنثى ولا تضع إلا بعلمه وما يعمر من معمر ولا ينقص من عمره إلا في كتاب إن ذلك على الله يسير.
35:12-14	وما يستوي البحران هذا عذب فرات سائغ شرابه وهذا ملح أجاج ومن كل تأكلون لحما طريا وتستخرجون حلية تلبسونها وترى الفلك فيه مواخر لتبتغوا من فضله ولعلكم تشكرون. يولج الليل في النهار ويولج النهار في الليل وسخر الشمس والقمر كل يجري لأجل مسمى ذلكم الله ربكم له الملك والذين تدعون من دونه ما يملكون من قطمير. إن تدعوهم لا يسمعوا دعاءكم ولو سمعوا ما استجابوا لكم ويوم القيامة يكفرون بشرككم ولا ينبئك مثل خبير.
35:15-18	يا أيها الناس أنتم الفقراء إلى الله والله هو الغني الحميد. إن يشأ يذهبكم ويأت بخلق جديد. وما ذلك على الله بعزيز. ولا تزر وازرة وزر أخرى وإن تدع مثقلة إلى حملها لا يحمل منه شيء ولو كان ذا قربى إنما تنذر الذين يخشون ربهم بالغيب وأقاموا الصلاة ومن تزكى فإنما يتزكى لنفسه وإلى الله المصير.
35:19-26	وما يستوي الأعمى والبصير. ولا الظلمات ولا النور. ولا الظل ولا الحرور. وما يستوي الأحياء ولا الأموات إن الله يسمع من يشاء وما أنت بمسمع من في القبور. إن أنت إلا نذير. إنا أرسلناك بالحق بشيرا ونذيرا وإن من أمة إلا خلا فيها نذير. وإن يكذبوك فقد كذب الذين من قبلهم جاءتهم رسلهم بالبينات وبالزبر وبالكتاب المنير. ثم أخذت الذين كفروا فكيف كان نكير.
35:27-28	ألم تر أن الله أنزل من السماء ماء فأخرجنا به ثمرات مختلفا ألوانها ومن الجبال جدد بيض وحمر مختلف ألوانها وغرابيب سود. ومن الناس والدواب والأنعام مختلف ألوانه كذلك إنما يخشى الله من عباده العلماء إن الله عزيز غفور.
35:29-35	إن الذين يتلون كتاب الله وأقاموا الصلاة وأنفقوا مما رزقناهم سرا وعلانية يرجون تجارة لن تبور. ليوفيهم أجورهم ويزيدهم من فضله إنه غفور شكور. والذي أوحينا إليك من الكتاب هو الحق مصدقا لما بين يديه إن الله بعباده لخبير بصير. ثم أورثنا الكتاب الذين اصطفينا من عبادنا فمنهم ظالم لنفسه ومنهم مقتصد ومنهم سابق بالخيرات بإذن الله ذلك هو الفضل الكبير. جنات عدن يدخلونها يحلون فيها من أساور من ذهب ولؤلؤا ولباسهم فيها حرير. وقالوا الحمد لله الذي أذهب عنا الحزن إن ربنا لغفور شكور. الذي أحلنا دار المقامة من فضله لا يمسنا فيها نصب ولا يمسنا فيها لغوب.
35:36-38	والذين كفروا لهم نار جهنم لا يقضى عليهم فيموتوا ولا يخفف عنهم من عذابها كذلك نجزي كل كفور. وهم يصطرخون فيها ربنا أخرجنا نعمل صالحا غير الذي كنا نعمل أولم نعمركم ما يتذكر فيه من تذكر وجاءكم النذير فذوقوا فما للظالمين من نصير. إن الله عالم غيب السماوات والأرض إنه عليم بذات الصدور.
35:39-41	هو الذي جعلكم خلائف في الأرض فمن كفر فعليه كفره ولا يزيد الكافرين كفرهم عند ربهم إلا مقتا ولا يزيد الكافرين كفرهم إلا خسارا. قل أرأيتم شركاءكم الذين تدعون من دون الله أروني ماذا خلقوا من الأرض أم لهم شرك في السماوات أم آتيناهم كتابا فهم على بينت منه بل إن يعد الظالمون بعضهم بعضا إلا غرورا. إن الله يمسك السماوات والأرض أن تزولا ولئن زالتا إن أمسكهما من أحد من بعده إنه كان حليما غفورا.
35:42-45	وأقسموا بالله جهد أيمانهم لئن جاءهم نذير ليكونن أهدى من إحدى الأمم فلما جاءهم نذير ما زادهم إلا نفورا. استكبارا في الأرض ومكر السيئ ولا يحيق المكر السيئ إلا بأهله فهل ينظرون إلا سنت الأولين فلن تجد لسنت الله تبديلا ولن تجد لسنت الله تحويلا. أولم يسيروا في الأرض فينظروا كيف كان عاقبة الذين من قبلهم وكانوا أشد منهم قوة وما كان الله ليعجزه من شيء في السماوات ولا في الأرض إنه كان عليما قديرا. ولو يؤاخذ الله الناس بما كسبوا ما ترك على ظهرها من دابة ولكن يؤخرهم إلى أجل مسمى فإذا جاء أجلهم فإن الله كان بعباده بصيرا.
36:1-12	يس. والقرآن الحكيم. إنك لمن المرسلين. على صراط مستقيم. تنزيل العزيز الرحيم. لتنذر قوما ما أنذر آباؤهم فهم غافلون. لقد حق القول على أكثرهم فهم لا يؤمنون. إنا جعلنا في أعناقهم أغلالا فهي إلى الأذقان فهم مقمحون. وجعلنا من بين أيديهم سدا ومن خلفهم سدا فأغشيناهم فهم لا يبصرون. وسواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون. إنما تنذر من اتبع الذكر وخشي الرحمن بالغيب فبشره بمغفرة وأجر كريم. إنا نحن نحيي الموتى ونكتب ما قدموا وآثارهم وكل شيء أحصيناه في إمام مبين.
36:13-19	واضرب لهم مثلا أصحاب القرية إذ جاءها المرسلون. إذ أرسلنا إليهم اثنين فكذبوهما فعززنا بثالث فقالوا إنا إليكم مرسلون. قالوا ما أنتم إلا بشر مثلنا وما أنزل الرحمن من شيء إن أنتم إلا تكذبون. قالوا ربنا يعلم إنا إليكم لمرسلون. وما علينا إلا البلاغ المبين. قالوا إنا تطيرنا بكم لئن لم تنتهوا لنرجمنكم وليمسنكم منا عذاب أليم. قالوا طائركم معكم أئن ذكرتم بل أنتم قوم مسرفون.
36:20-27	وجاء من أقصى المدينة رجل يسعى قال يا قوم اتبعوا المرسلين. اتبعوا من لا يسألكم أجرا وهم مهتدون. وما لي لا أعبد الذي فطرني وإليه ترجعون. أأتخذ من دونه آلهة إن يردن الرحمن بضر لا تغن عني شفاعتهم شيئا ولا ينقذون. إني إذا لفي ضلال مبين. إني آمنت بربكم فاسمعون. قيل ادخل الجنة قال يا ليت قومي يعلمون. بما غفر لي ربي وجعلني من المكرمين.
36:28-32	وما أنزلنا على قومه من بعده من جند من السماء وما كنا منزلين. إن كانت إلا صيحة واحدة فإذا هم خامدون. يا حسرة على العباد ما يأتيهم من رسول إلا كانوا به يستهزئون. ألم يروا كم أهلكنا قبلهم من القرون أنهم إليهم لا يرجعون. وإن كل لما جميع لدينا محضرون.
36:33-47	وآية لهم الأرض الميتة أحييناها وأخرجنا منها حبا فمنه يأكلون. وجعلنا فيها جنات من نخيل وأعناب وفجرنا فيها من العيون. ليأكلوا من ثمره وما عملته أيديهم أفلا يشكرون. سبحان الذي خلق الأزواج كلها مما تنبت الأرض ومن أنفسهم ومما لا يعلمون. وآية لهم الليل نسلخ منه النهار فإذا هم مظلمون. والشمس تجري لمستقر لها ذلك تقدير العزيز العليم. والقمر قدرناه منازل حتى عاد كالعرجون القديم. لا الشمس ينبغي لها أن تدرك القمر ولا الليل سابق النهار وكل في فلك يسبحون. وآية لهم أنا حملنا ذريتهم في الفلك المشحون. وخلقنا لهم من مثله ما يركبون. وإن نشأ نغرقهم فلا صريخ لهم ولا هم ينقذون. إلا رحمة منا ومتاعا إلى حين. وإذا قيل لهم اتقوا ما بين أيديكم وما خلفكم لعلكم ترحمون. وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين. وإذا قيل لهم أنفقوا مما رزقكم الله قال الذين كفروا للذين آمنوا أنطعم من لو يشاء الله أطعمه إن أنتم إلا في ضلال مبين.
36:48-54	ويقولون متى هذا الوعد إن كنتم صادقين. ما ينظرون إلا صيحة واحدة تأخذهم وهم يخصمون. فلا يستطيعون توصية ولا إلى أهلهم يرجعون. ونفخ في الصور فإذا هم من الأجداث إلى ربهم ينسلون. قالوا يا ويلنا من بعثنا من مرقدنا هذا ما وعد الرحمن وصدق المرسلون. إن كانت إلا صيحة واحدة فإذا هم جميع لدينا محضرون. فاليوم لا تظلم نفس شيئا ولا تجزون إلا ما كنتم تعملون.
36:55-58	إن أصحاب الجنة اليوم في شغل فاكهون. هم وأزواجهم في ظلال على الأرائك متكئون. لهم فيها فاكهة ولهم ما يدعون. سلام قولا من رب رحيم.
36:59-68	وامتازوا اليوم أيها المجرمون. ألم أعهد إليكم يا بني آدم أن لا تعبدوا الشيطان إنه لكم عدو مبين. وأن اعبدوني هذا صراط مستقيم. ولقد أضل منكم جبلا كثيرا أفلم تكونوا تعقلون. هذه جهنم التي كنتم توعدون. اصلوها اليوم بما كنتم تكفرون. اليوم نختم على أفواههم وتكلمنا أيديهم وتشهد أرجلهم بما كانوا يكسبون. ولو نشاء لطمسنا على أعينهم فاستبقوا الصراط فأنى يبصرون. ولو نشاء لمسخناهم على مكانتهم فما استطاعوا مضيا ولا يرجعون. ومن نعمره ننكسه في الخلق أفلا يعقلون.
36:69-70	وما علمناه الشعر وما ينبغي له إن هو إلا ذكر وقرآن مبين. لينذر من كان حيا ويحق القول على الكافرين.
36:71-76	أولم يروا أنا خلقنا لهم مما عملت أيدينا أنعاما فهم لها مالكون. وذللناها لهم فمنها ركوبهم ومنها يأكلون. ولهم فيها منافع ومشارب أفلا يشكرون. واتخذوا من دون الله آلهة لعلهم ينصرون. لا يستطيعون نصرهم وهم لهم جند محضرون. فلا يحزنك قولهم إنا نعلم ما يسرون وما يعلنون.
36:77-83	أولم ير الإنسان أنا خلقناه من نطفة فإذا هو خصيم مبين. وضرب لنا مثلا ونسي خلقه قال من يحيي العظام وهي رميم. قل يحييها الذي أنشأها أول مرة وهو بكل خلق عليم. الذي جعل لكم من الشجر الأخضر نارا فإذا أنتم منه توقدون. أوليس الذي خلق السماوات والأرض بقادر على أن يخلق مثلهم بلى وهو الخلاق العليم. إنما أمره إذا أراد شيئا أن يقول له كن فيكون. فسبحان الذي بيده ملكوت كل شيء وإليه ترجعون.
37:1-10	والصافات صفا. فالزاجرات زجرا. فالتاليات ذكرا. إن إلهكم لواحد. رب السماوات والأرض وما بينهما ورب المشارق. إنا زينا السماء الدنيا بزينة الكواكب. وحفظا من كل شيطان مارد. لا يسمعون إلى الملإ الأعلى ويقذفون من كل جانب. دحورا ولهم عذاب واصب. إلا من خطف الخطفة فأتبعه شهاب ثاقب.
37:11-21	فاستفتهم أهم أشد خلقا أم من خلقنا إنا خلقناهم من طين لازب. بل عجبت ويسخرون. وإذا ذكروا لا يذكرون. وإذا رأوا آية يستسخرون. وقالوا إن هذا إلا سحر مبين. أإذا متنا وكنا ترابا وعظاما أإنا لمبعوثون. أوآباؤنا الأولون. قل نعم وأنتم داخرون. فإنما هي زجرة واحدة فإذا هم ينظرون. وقالوا يا ويلنا هذا يوم الدين. هذا يوم الفصل الذي كنتم به تكذبون.
37:22-39	احشروا الذين ظلموا وأزواجهم وما كانوا يعبدون. من دون الله فاهدوهم إلى صراط الجحيم. وقفوهم إنهم مسئولون. ما لكم لا تناصرون. بل هم اليوم مستسلمون. وأقبل بعضهم على بعض يتساءلون. قالوا إنكم كنتم تأتوننا عن اليمين. قالوا بل لم تكونوا مؤمنين. وما كان لنا عليكم من سلطان بل كنتم قوما طاغين. فحق علينا قول ربنا إنا لذائقون. فأغويناكم إنا كنا غاوين. فإنهم يومئذ في العذاب مشتركون. إنا كذلك نفعل بالمجرمين. إنهم كانوا إذا قيل لهم لا إله إلا الله يستكبرون. ويقولون أئنا لتاركو آلهتنا لشاعر مجنون. بل جاء بالحق وصدق المرسلين. إنكم لذائقو العذاب الأليم. وما تجزون إلا ما كنتم تعملون.
37:40-49	إلا عباد الله المخلصين. أولئك لهم رزق معلوم. فواكه وهم مكرمون. في جنات النعيم. على سرر متقابلين. يطاف عليهم بكأس من معين. بيضاء لذة للشاربين. لا فيها غول ولا هم عنها ينزفون. وعندهم قاصرات الطرف عين. كأنهن بيض مكنون.
37:50-61	فأقبل بعضهم على بعض يتساءلون. قال قائل منهم إني كان لي قرين. يقول أإنك لمن المصدقين. أإذا متنا وكنا ترابا وعظاما أإنا لمدينون. قال هل أنتم مطلعون. فاطلع فرآه في سواء الجحيم. قال تالله إن كدت لتردين. ولولا نعمة ربي لكنت من المحضرين. أفما نحن بميتين. إلا موتتنا الأولى وما نحن بمعذبين. إن هذا لهو الفوز العظيم. لمثل هذا فليعمل العاملون.
37:62-74	أذلك خير نزلا أم شجرة الزقوم. إنا جعلناها فتنة للظالمين. إنها شجرة تخرج في أصل الجحيم. طلعها كأنه رءوس الشياطين. فإنهم لآكلون منها فمالئون منها البطون. ثم إن لهم عليها لشوبا من حميم. ثم إن مرجعهم لإلى الجحيم. إنهم ألفوا آباءهم ضالين. فهم على آثارهم يهرعون. ولقد ضل قبلهم أكثر الأولين. ولقد أرسلنا فيهم منذرين. فانظر كيف كان عاقبة المنذرين. إلا عباد الله المخلصين.
37:75-82	ولقد نادانا نوح فلنعم المجيبون. ونجيناه وأهله من الكرب العظيم. وجعلنا ذريته هم الباقين. وتركنا عليه في الآخرين. سلام على نوح في العالمين. إنا كذلك نجزي المحسنين. إنه من عبادنا المؤمنين. ثم أغرقنا الآخرين.
37:83-98	وإن من شيعته لإبراهيم. إذ جاء ربه بقلب سليم. إذ قال لأبيه وقومه ماذا تعبدون. أئفكا آلهة دون الله تريدون. فما ظنكم برب العالمين. فنظر نظرة في النجوم. فقال إني سقيم. فتولوا عنه مدبرين. فراغ إلى آلهتهم فقال ألا تأكلون. ما لكم لا تنطقون. فراغ عليهم ضربا باليمين. فأقبلوا إليه يزفون. قال أتعبدون ما تنحتون. والله خلقكم وما تعملون. قالوا ابنوا له بنيانا فألقوه في الجحيم. فأرادوا به كيدا فجعلناهم الأسفلين.
37:99-113	وقال إني ذاهب إلى ربي سيهدين. رب هب لي من الصالحين. فبشرناه بغلام حليم. فلما بلغ معه السعي قال يا بني إني أرى في المنام أني أذبحك فانظر ماذا ترى قال يا أبت افعل ما تؤمر ستجدني إن شاء الله من الصابرين. فلما أسلما وتله للجبين. وناديناه أن يا إبراهيم. قد صدقت الرؤيا إنا كذلك نجزي المحسنين. إن هذا لهو البلاء المبين. وفديناه بذبح عظيم. وتركنا عليه في الآخرين. سلام على إبراهيم. كذلك نجزي المحسنين. إنه من عبادنا المؤمنين. وبشرناه بإسحاق نبيا من الصالحين. وباركنا عليه وعلى إسحاق ومن ذريتهما محسن وظالم لنفسه مبين.
37:114-122	ولقد مننا على موسى وهارون. ونجيناهما وقومهما من الكرب العظيم. ونصرناهم فكانوا هم الغالبين. وآتيناهما الكتاب المستبين. وهديناهما الصراط المستقيم. وتركنا عليهما في الآخرين. سلام على موسى وهارون. إنا كذلك نجزي المحسنين. إنهما من عبادنا المؤمنين.
37:123-132	وإن إلياس لمن المرسلين. إذ قال لقومه ألا تتقون. أتدعون بعلا وتذرون أحسن الخالقين. الله ربكم ورب آبائكم الأولين. فكذبوه فإنهم لمحضرون. إلا عباد الله المخلصين. وتركنا عليه في الآخرين. سلام على إل ياسين. إنا كذلك نجزي المحسنين. إنه من عبادنا المؤمنين.
37:133-138	وإن لوطا لمن المرسلين. إذ نجيناه وأهله أجمعين. إلا عجوزا في الغابرين. ثم دمرنا الآخرين. وإنكم لتمرون عليهم مصبحين. وبالليل أفلا تعقلون.
37:139-148	وإن يونس لمن المرسلين. إذ أبق إلى الفلك المشحون. فساهم فكان من المدحضين. فالتقمه الحوت وهو مليم. فلولا أنه كان من المسبحين. للبث في بطنه إلى يوم يبعثون. فنبذناه بالعراء وهو سقيم. وأنبتنا عليه شجرة من يقطين. وأرسلناه إلى مائة ألف أو يزيدون. فآمنوا فمتعناهم إلى حين.
37:149-157	فاستفتهم ألربك البنات ولهم البنون. أم خلقنا الملائكة إناثا وهم شاهدون. ألا إنهم من إفكهم ليقولون. ولد الله وإنهم لكاذبون. أصطفى البنات على البنين. ما لكم كيف تحكمون. أفلا تذكرون. أم لكم سلطان مبين. فأتوا بكتابكم إن كنتم صادقين.
37:158-166	وجعلوا بينه وبين الجنة نسبا ولقد علمت الجنة إنهم لمحضرون. سبحان الله عما يصفون. إلا عباد الله المخلصين. فإنكم وما تعبدون. ما أنتم عليه بفاتنين. إلا من هو صال الجحيم. وما منا إلا له مقام معلوم. وإنا لنحن الصافون. وإنا لنحن المسبحون.
37:167-170	وإن كانوا ليقولون. لو أن عندنا ذكرا من الأولين. لكنا عباد الله المخلصين. فكفروا به فسوف يعلمون.
37:171-182	ولقد سبقت كلمتنا لعبادنا المرسلين. إنهم لهم المنصورون. وإن جندنا لهم الغالبون. فتول عنهم حتى حين. وأبصرهم فسوف يبصرون. أفبعذابنا يستعجلون. فإذا نزل بساحتهم فساء صباح المنذرين. وتول عنهم حتى حين. وأبصر فسوف يبصرون. سبحان ربك رب العزة عما يصفون. وسلام على المرسلين. والحمد لله رب العالمين.
38:1-11	ص والقرآن ذي الذكر. بل الذين كفروا في عزة وشقاق. كم أهلكنا من قبلهم من قرن فنادوا ولات حين مناص. وعجبوا أن جاءهم منذر منهم وقال الكافرون هذا ساحر كذاب. أجعل الآلهة إلها واحدا إن هذا لشيء عجاب. وانطلق الملأ منهم أن امشوا واصبروا على آلهتكم إن هذا لشيء يراد. ما سمعنا بهذا في الملة الآخرة إن هذا إلا اختلاق. أأنزل عليه الذكر من بيننا بل هم في شك من ذكري بل لما يذوقوا عذاب. أم عندهم خزائن رحمة ربك العزيز الوهاب. أم لهم ملك السماوات والأرض وما بينهما فليرتقوا في الأسباب. جند ما هنالك مهزوم من الأحزاب.
38:12-16	كذبت قبلهم قوم نوح وعاد وفرعون ذو الأوتاد. وثمود وقوم لوط وأصحاب الأيكة أولئك الأحزاب. إن كل إلا كذب الرسل فحق عقاب. وما ينظر هؤلاء إلا صيحة واحدة ما لها من فواق. وقالوا ربنا عجل لنا قطنا قبل يوم الحساب.
38:17-20	اصبر على ما يقولون واذكر عبدنا داوود ذا الأيد إنه أواب. إنا سخرنا الجبال معه يسبحن بالعشي والإشراق. والطير محشورة كل له أواب. وشددنا ملكه وآتيناه الحكمة وفصل الخطاب.
